image_00128.jpg 0.4473684210526316 #['1011111111101111111', '0000000000000000000']
image_00130.jpg 0.4473684210526316 #['1011101111111111111', '0000000000000000000']
image_00129.jpg 0.42105263157894735 #['1011101111101111111', '0000000000000000000']
image_00249.jpg 0.18421052631578946 #['1110001111000000000', '0000000000000000000']
image_00252.jpg 0.18421052631578946 #['1110011110000000000', '0000000000000000000']
image_00254.jpg 0.18421052631578946 #['1100011110010000000', '0000000000000000000']
image_00248.jpg 0.15789473684210525 #['1100001110100000000', '0000000000000000000']
image_00250.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00251.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00243.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00244.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
