image_00128.jpg 0.4473684210526316 #['1011111111101111111', '0000000000000000000']
image_00130.jpg 0.4473684210526316 #['1011101111111111111', '0000000000000000000']
image_00132.jpg 0.4473684210526316 #['1111101011111111111', '0000000000000000000']
image_00161.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00162.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00163.jpg 0.4473684210526316 #['1111111001111111111', '0000000000000000000']
image_00129.jpg 0.42105263157894735 #['1011101111101111111', '0000000000000000000']
image_00131.jpg 0.42105263157894735 #['1111101011011111111', '0000000000000000000']
image_00160.jpg 0.42105263157894735 #['1111111010101111111', '0000000000000000000']
image_00133.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00134.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00135.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00086.jpg 0.34210526315789475 #['0000000000000000000', '1011100110001111111']
image_00137.jpg 0.34210526315789475 #['1111001000011111111', '0000000000000000000']
image_00158.jpg 0.34210526315789475 #['1110010101001111111', '0000000000000000000']
image_00159.jpg 0.34210526315789475 #['1111010100001111111', '0000000000000000000']
image_00085.jpg 0.3421052631578947 #['0100000000000000000', '1011010100001111111']
image_00136.jpg 0.3157894736842105 #['1101001001001111111', '0000000000000000000']
image_00138.jpg 0.3157894736842105 #['1111001000001111111', '0000000000000000000']
image_00139.jpg 0.2631578947368421 #['1101000000001111111', '0000000000000000000']
