image_00128.jpg 0.4473684210526316 #['1011111111101111111', '0000000000000000000']
image_00161.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00162.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00163.jpg 0.4473684210526316 #['1111111001111111111', '0000000000000000000']
image_00160.jpg 0.42105263157894735 #['1111111010101111111', '0000000000000000000']
image_00164.jpg 0.2894736842105263 #['1111111001110100000', '0000000000000000000']
image_00201.jpg 0.2631578947368421 #['0000000000000000000', '0111111101110000000']
image_00165.jpg 0.23684210526315788 #['0111111001110000000', '0000000000000000000']
image_00087.jpg 0.18421052631578946 #['0000000000000000000', '1011110100000100000']
image_00127.jpg 0.18421052631578946 #['0011110110100000000', '0000000000000000000']
image_00166.jpg 0.18421052631578946 #['0101111001010000000', '0000000000000000000']
